Name
Allightsykes, PT
Altron Indonesia, PT
Apple
Astrazeneca Indonesia, PT
Audatex Indonesia, PT
BHLN CREADOR SDN BHD
Biomin Indonesia, PT
Blue Coat Systems Indonesia, PT
Borouge
Brandtone Indonesia Data Service, PT
BT Communications Indonesia
BT Indonesia
BUT China National Technical Import Export Corporation
BUT SITA Telecommunications  
CFX Indonesia, PT 
CNBC
Comba Telecom, PT
Covestro
Creador Kapital, PT
Facebook Singapore PTE Ltd.
Gevaert-Agfa Healthcare Indonesia, PT
Infor Software Indonesia
LCWaikiki Retail Indonesia, PT
Mindray Medical Indonesia, PT
Motorola Mobility Indonesia, PT
Mphasis Indonesia, PT
OIA International SCM Co
PPD Development (S) Pte Ltd
SITA ,PT
Stemtech Indonesia, PT
Sun Microsystems Indonesia
Triumph Motorcycles Indonesia, PT
Twitter Asia Pacific Pte Ltd
Wolters Kluwer Financial Services Indonesia, PT 
Zebra, PT
Birdwood Enterprises Ltd
De Bock Maritime BV
Gamesa Wind (TianJin) Co.,ltd
HRNet One
Prydra 
